KEY,METRIC_1,METRIC_2,METRIC_3,METRIC_4,METRIC_5,METRIC_6,METRIC_7,METRIC_8,METRIC_9,METRIC_10,avg_metric
11204231500,1.14,0.08,1281.64,0.08,0.052,0.088,0.037,0.311,90.96,0.0,137.44
11204234800,0.69,0.07,1600.0,1.93,0.05,0.072,0.02,0.302,88.32,0.12,169.16
11204235900,0.72,0.12,580.81,0.58,0.055,0.106,0.038,0.297,75.0,0.42,65.81
11204237000,0.27,0.12,676.0,2.28,0.052,0.087,0.031,0.305,76.22,0.31,75.57
11204238100,0.38,0.08,1324.96,3.02,0.052,0.074,0.021,0.301,72.03,0.2,140.11
11204239200,0.89,0.16,342.25,1.21,0.051,0.07,0.028,0.29,53.19,0.52,39.87
11204240300,0.83,0.15,400.0,0.75,0.051,0.088,0.031,0.304,72.92,0.62,47.57
11204382200,1.18,0.04,2284.84,4.32,0.098,0.035,0.035,0.362,128.04,0.0,241.9
11204384400,0.65,0.05,1705.69,3.58,0.094,0.036,0.03,0.373,137.88,0.0,184.84
11204385500,0.66,0.04,2256.25,1.75,0.085,0.027,0.017,0.395,165.91,0.0,242.51
11204386600,0.6,0.04,2735.29,0.36,0.079,0.025,0.025,0.421,151.38,0.0,288.82
11204387700,1.12,0.04,2872.96,6.02,0.083,0.032,0.024,0.406,133.85,0.0,301.45
11204388800,0.37,0.04,2520.04,1.64,0.08,0.032,0.015,0.417,141.22,0.0,266.39
11204389900,1.15,0.11,745.29,0.79,0.111,0.111,0.024,0.377,108.93,0.25,85.71
11204391000,2.19,0.29,106.09,6.18,0.13,0.122,0.028,0.373,60.94,0.47,17.68
11204392100,1.21,0.04,3158.44,1.69,0.086,0.026,0.029,0.397,180.77,0.0,334.27
11204393200,0.94,0.04,2704.0,3.1,0.08,0.029,0.014,0.386,167.21,0.0,287.58
11204395400,1.05,0.04,2025.0,0.79,0.082,0.026,0.017,0.415,215.19,0.0,224.26
11204396500,0.95,0.05,1797.76,6.27,0.088,0.025,0.017,0.403,162.05,0.0,196.76
11204397600,0.76,0.03,3708.81,3.28,0.076,0.025,0.019,0.421,221.62,0.0,393.5
11204398700,0.58,0.04,2227.84,1.68,0.079,0.024,0.009,0.426,137.63,0.0,236.83
11204399800,1.03,0.04,3180.96,2.56,0.082,0.029,0.016,0.405,174.55,0.0,335.97
11204400900,0.41,0.03,4134.49,5.45,0.075,0.021,0.017,0.431,227.8,0.0,436.87
11204402000,1.02,0.03,4290.25,2.01,0.078,0.025,0.01,0.42,198.41,0.0,449.23
11204403100,0.85,0.03,6068.41,5.68,0.079,0.022,0.011,0.399,183.06,0.0,625.85
11204404200,0.34,0.02,9350.89,6.04,0.066,0.019,0.016,0.427,259.13,0.0,961.69
11204405300,0.33,0.03,4678.56,4.76,0.076,0.018,0.012,0.418,208.27,0.0,489.25
11204406400,0.97,0.03,4395.69,3.52,0.072,0.017,0.012,0.404,191.23,0.0,459.19
11204407500,0.16,0.03,5852.25,2.92,0.08,0.027,0.01,0.386,164.89,0.0,602.08
11204408600,0.15,0.02,6674.89,3.26,0.072,0.016,0.011,0.444,212.45,0.0,689.13
11204409700,0.88,0.04,3003.04,5.07,0.076,0.02,0.004,0.442,187.3,0.0,319.69
11204410800,0.93,0.06,2180.89,8.73,0.108,0.074,0.032,0.367,109.26,0.0,230.05
11204411900,0.87,0.05,1806.25,6.72,0.087,0.023,0.012,0.391,146.09,0.0,196.05
11204413000,1.1,0.06,979.69,5.28,0.103,0.032,0.021,0.381,100.2,0.0,108.69
11204414100,0.37,0.01,67288.36,4.74,0.094,0.023,0.004,0.441,131.36,0.0,6742.54
11204415200,0.97,0.01,25760.25,0.17,0.085,0.033,0.016,0.409,167.94,0.0,2592.99
11204416300,0.34,0.04,2540.16,5.26,0.089,0.033,0.019,0.375,163.42,0.0,270.97
11204417400,0.82,0.04,2323.24,3.24,0.089,0.032,0.013,0.386,165.42,0.0,249.33
11204418500,1.18,0.03,4212.01,0.31,0.082,0.025,0.021,0.39,193.44,0.0,440.75
11204419600,0.72,0.03,5610.01,4.44,0.072,0.016,0.005,0.426,197.21,0.0,581.29
11204420700,0.89,0.03,4761.0,1.89,0.074,0.019,0.016,0.424,222.38,0.0,498.67
11204421800,0.64,0.03,5595.04,2.31,0.078,0.01,0.012,0.391,172.14,0.0,577.07
11204422900,1.11,0.03,6115.24,0.49,0.075,0.021,0.01,0.401,198.7,0.0,631.61
11204424000,0.54,0.08,620.01,4.89,0.094,0.026,,0.412,151.29,0.23,86.4
11204425100,0.83,0.02,7039.21,0.5,0.07,0.014,0.015,0.428,278.45,0.0,731.95
11204426200,0.43,0.03,3410.56,2.59,0.078,0.021,0.012,0.441,187.62,0.0,360.18
11204427300,1.04,0.01,18550.44,1.0,0.062,0.023,0.009,0.447,288.42,0.0,1884.15
11204428400,0.99,0.02,9584.41,1.66,0.077,0.015,0.011,0.43,190.23,0.0,977.78
11204429500,0.47,0.04,2894.44,6.43,0.08,0.029,0.012,0.402,161.3,0.0,306.32
11204430600,0.45,0.03,3994.24,2.17,0.073,0.016,0.017,0.438,212.52,0.0,421.0
11204431700,0.91,0.02,9682.56,2.17,0.073,0.024,0.018,0.388,224.96,0.0,991.11
11204432800,0.58,0.02,9370.24,2.47,0.071,0.015,0.016,0.463,285.69,0.0,965.96
11204433900,1.02,0.02,7089.64,0.54,0.073,0.014,0.02,0.411,195.51,0.0,728.72
11204435000,0.62,0.04,3080.25,5.02,0.073,0.02,0.015,0.407,189.54,0.0,327.6
11204436100,0.76,0.03,4277.16,6.76,0.078,0.008,0.01,0.424,226.08,0.0,451.13
11204437200,0.65,0.03,4032.25,6.86,0.076,0.019,0.013,0.399,189.29,0.0,422.96
11204438300,0.36,0.03,3492.81,6.82,0.074,0.021,0.011,0.412,217.07,0.0,371.76
11204439400,0.99,0.03,3981.61,5.82,0.078,0.03,0.012,0.396,227.4,0.0,421.64
11204440500,0.38,0.04,2830.24,4.55,0.08,0.03,0.019,0.392,234.82,0.0,307.06
11204441600,0.93,0.02,12454.56,1.53,0.073,0.026,0.009,0.434,198.04,0.0,1265.56
11204442700,0.23,0.02,8445.61,5.82,0.075,0.021,0.02,0.383,231.18,0.0,868.34
11204443800,0.37,0.04,3080.25,0.79,0.074,0.016,0.009,0.443,176.55,0.0,325.85
11204444900,0.28,0.03,6006.25,1.47,0.087,0.029,0.021,0.417,172.17,0.0,618.08
11204446000,0.7,0.02,8100.0,1.89,0.07,0.01,0.015,0.427,225.1,0.0,832.82
